formula,element_1,element_2,composition_1,composition_2,melting_point,boiling_point,density,electronegativity,atomic_radius,electronegativity_difference,element_3,composition_3,alloy_type
Gd0.120Ni0.880,Gd,Ni,0.12000860417813355,0.8799913958218665,1795.8185526407167,3181.832712329727,9356.285055854572,1.8247938910335253,1.4040038718801602,0.71,,,binary
Ag0.279Rh0.721,Ag,Rh,0.27856859051905825,0.7214314094809418,2256.0418998011933,3458.0417096377128,11625.288798789725,2.1825009933183295,1.4196421476297645,0.34999999999999987,,,binary
Lu0.641Co0.359,Lu,Co,0.6413595899383291,0.3586404100616709,2163.7999209573577,3773.6044956513497,9057.353481892815,1.4887706501376192,1.6065438359753317,0.6099999999999999,,,binary
La0.572Fe0.428,La,Fe,0.5723940099592317,0.42760599004076827,1536.325633984918,3321.19866468892,6564.252726013176,1.412152372729761,1.7148167054775774,0.73,,,binary
V0.175Ti0.825,V,Ti,0.17495619188927397,0.8250438081107261,2031.3287290504322,2895.850093221069,3961.658164120552,1.5557460572700348,1.3912521904055364,0.08999999999999986,,,binary
Ru0.582Sc0.418,Ru,Sc,0.5816149832399843,0.4183850167600157,2147.2878601496786,3478.6920175666796,8708.789989707095,1.8485565859215871,1.4255155050280048,0.8400000000000001,,,binary
Ce0.673Mo0.327,Ce,Mo,0.6728156903379228,0.32718430966207723,1514.8076698966834,3479.2783034448544,9016.493155015549,1.4602716820485604,1.719126276135169,1.04,,,binary
Er0.436La0.564,Er,La,0.435615856769327,0.564384143230673,1425.3653233670802,3504.2641965637335,6361.120339188811,1.160986219947706,1.8628768286461346,0.1399999999999999,,,binary
Mg0.323Nd0.677,Mg,Nd,0.3225525665845302,0.6774474334154699,1112.3260432094648,2754.892079107605,4572.493028343502,1.19483393631937,1.7371066016954146,0.17000000000000015,,,binary
Al0.659Zr0.341,Al,Zr,0.6585115159905814,0.34148848400941856,1391.7839291188477,3230.948896573151,3884.6939076171234,1.514383224477363,1.3524465452028256,0.28,,,binary
W0.224Ag0.776,W,Ag,0.22438359984942524,0.7756164001505748,1679.408641182373,3788.383445591461,12438.788730984657,2.026484947935253,1.543904100037644,0.42999999999999994,,,binary
